Differences in Semantics of ZAI and ZHENGZAI,,,,,
Verbs,Situation Type,ZAI,ZHENGZAI,[+Durative/-Durative],[+Dynamic/-Dynamic]
搭车,Activity,1,0,[+Durative],[+Dynamic]
“帮助”别人,Activity,1,0,[+Durative],[+Dynamic]
“等活”,Activity,2,0,[+Durative],[+Dynamic]
“讨论”什么问题,Activity,0,1,[+Durative],[+Dynamic]
“玩朋友”,Activity,1,0,[+Durative],[+Dynamic]
挨打,Activity,1,0,[+Durative],[+Dynamic]
挨饿,Activity,2,0,[+Durative],[+Dynamic]
挨饿受冻,Activity,1,0,[+Durative],[+Dynamic]
关心,State,0,1,[+Durative],[-Dynamic]
关心、培养自己,State,1,0,[+Durative],[-Dynamic]
关心过去这四年您在谷歌,State,1,0,[+Durative],[-Dynamic]
关心那些把他视为救星的山区孩子们,State,1,0,[+Durative],[-Dynamic]
关心那些东西,State,1,0,[+Durative],[-Dynamic]
关心她,State,1,0,[+Durative],[-Dynamic]
关心这种事,State,1,0,[+Durative],[-Dynamic]
关心重庆饭店,State,1,0,[+Durative],[-Dynamic]
安排“全球战略”新步骤,Activity,1,0,[+Durative],[+Dynamic]
安排抢救工作,Activity,0,1,[+Durative],[+Dynamic]
安排巧计动你的手,Activity,0,2,[+Durative],[+Dynamic]
安排研究和创作的良好环境,Activity,0,1,[+Durative],[+Dynamic]
安排重印作业,Activity,0,1,[+Durative],[+Dynamic]
安排猪肉的供应,Activity,1,0,[+Durative],[+Dynamic]
安慰,Activity,2,0,[+Durative],[+Dynamic]
安慰丁仪,Activity,1,0,[+Durative],[+Dynamic]
安慰淑英,Activity,1,0,[+Durative],[+Dynamic]
安慰他,Activity,1,0,[+Durative],[+Dynamic]
安慰她,Activity,1,0,[+Durative],[+Dynamic]
安慰她的良心,Activity,1,0,[+Durative],[+Dynamic]
安慰我,Activity,2,0,[+Durative],[+Dynamic]
安慰一个因为没有放起自己制作的风筝而哭哭啼啼的小弟弟,Activity,1,0,[+Durative],[+Dynamic]
安慰自己,Activity,1,0,[+Durative],[+Dynamic]
安装,Activity,1,1,[+Durative],[+Dynamic]
安装国产亚洲最大的石英钟,Activity,0,1,[+Durative],[+Dynamic]
安装机器设备,Activity,0,1,[+Durative],[+Dynamic]
安装墙壁、门板,Activity,0,1,[+Durative],[+Dynamic]
按著肚子,Activity,1,0,[+Durative],[+Dynamic]
暗示,Activity,3,0,[+Durative],[+Dynamic]
暗示读者,Activity,1,0,[+Durative],[+Dynamic]
暗示什么,Activity,2,0,[+Durative],[+Dynamic]
暗示我把她估计得太神秘,Activity,1,0,[+Durative],[+Dynamic]
熬稀饭,Activity,2,0,[+Durative],[+Dynamic]
熬药,Activity,0,1,[+Durative],[+Dynamic]
拔,Activity,1,0,[+Durative],[+Dynamic]
拔草,Activity,1,0,[+Durative],[+Dynamic]
拔掉旧电线杆,Transition,0,1,[+Durative],[+Dynamic]
把大批美金移藏到美洲,Transition,0,1,[+Durative],[+Dynamic]
把各种物资和建筑器材运到各建设工地,Transition,0,1,[+Durative],[+Dynamic]
把工作重点转移到现代化建设上来,Transition,0,1,[+Durative],[+Dynamic]
把警方排挤出去,Transition,0,1,[+Durative],[+Dynamic]
把历史已经切断,Transition,1,0,[-Durative],[+Dynamic]
把美帝纸老虎撕得粉碎,Transition,0,1,[+Durative],[+Dynamic]
把门口的垃圾往畚箕里扫,Activity,0,1,[+Durative],[+Dynamic]
把那颗“炸弹”托住,Transition,0,1,[+Durative],[+Dynamic]
把他们当做实验室的豚鼠看待,Activity,0,1,[+Durative],[+Dynamic]
把越来越多的马绍尔群岛居民赶出他们的土地,Transition,1,0,[+Durative],[+Dynamic]
把战争扩大到整个印度支那威胁东南亚和平,Transition,0,1,[+Durative],[+Dynamic]
把自己的体力和热情，把饱含着农作物所需要的氮、磷、钾和有机质的肥料，献给哺育着我们的共和国的农田,Transition,1,0,[+Durative],[+Dynamic]
掰手腕,Activity,1,0,[+Durative],[+Dynamic]
掰玉米,Activity,1,0,[+Durative],[+Dynamic]
摆,Activity,1,0,[+Durative],[+Dynamic]
摆动,Activity,2,0,[+Durative],[+Dynamic]
摆赌,Activity,1,0,[+Durative],[+Dynamic]
摆酒炒菜,Activity,1,0,[+Durative],[+Dynamic]
摆弄钢笔,Activity,1,0,[+Durative],[+Dynamic]
摆弄什么东西,Activity,1,0,[+Durative],[+Dynamic]
摆弄一些贴在大幅硬纸上的照片,Activity,0,1,[+Durative],[+Dynamic]
摆摊卖眼镜,Activity,1,0,[+Durative],[+Dynamic]
摆脱经济增长赶不上人口增长的状况,Transition,0,1,[-Durative],[+Dynamic]
摆脱外国的统治,Transition,0,1,[-Durative],[+Dynamic]
摆脱危机,Transition,0,1,[-Durative],[+Dynamic]
摆脱祖辈那种“一分钱攥出水来”的守财形象,Transition,0,1,[-Durative],[+Dynamic]
搬,Activity,1,0,[+Durative],[+Dynamic]
搬大石头块儿,Activity,1,0,[+Durative],[+Dynamic]
搬东西出来,Activity,1,0,[+Durative],[+Dynamic]
搬东西走,Activity,1,1,[+Durative],[+Dynamic]
搬家,Activity,1,0,[+Durative],[+Dynamic]
搬石弄土,Activity,1,0,[+Durative],[+Dynamic]
搬箱子,Activity,0,1,[+Durative],[+Dynamic]
搬运,Activity,1,0,[+Durative],[+Dynamic]
搬运沙袋围堵缺口,Activity,0,1,[+Durative],[+Dynamic]
办案,Activity,1,0,[+Durative],[+Dynamic]
办报请退役,Activity,1,0,[+Durative],[+Dynamic]
办公司,Activity,1,0,[+Durative],[+Dynamic]
办结束,Activity,1,0,[+Durative],[+Dynamic]
办理,Activity,0,4,[+Durative],[+Dynamic]
办理后事,Activity,1,0,[+Durative],[+Dynamic]
办理借贷手续,Activity,0,1,[+Durative],[+Dynamic]
办理军事政治学校,Activity,1,0,[+Durative],[+Dynamic]
办理离婚,Activity,0,1,[+Durative],[+Dynamic]
办理什么事,Activity,1,0,[+Durative],[+Dynamic]
办理选举,Activity,0,1,[+Durative],[+Dynamic]
办理移交、法共政治局号召党员,Activity,0,1,[+Durative],[+Dynamic]
办理住院,Activity,0,1,[+Durative],[+Dynamic]
办年货,Activity,1,0,[+Durative],[+Dynamic]
办什么孔教会的事情,Activity,1,0,[+Durative],[+Dynamic]
办事,Activity,1,0,[+Durative],[+Dynamic]
办喜事,Activity,0,2,[+Durative],[+Dynamic]
办一件事,Activity,1,0,[+Durative],[+Dynamic]
办这个学期的结束,Activity,1,0,[+Durative],[+Dynamic]
办这件事,Activity,0,1,[+Durative],[+Dynamic]
拌醋醅,Activity,1,0,[+Durative],[+Dynamic]
拌豆腐,Activity,1,0,[+Durative],[+Dynamic]
帮别人忙来忙去,Activity,1,0,[+Durative],[+Dynamic]
帮倒忙,Activity,1,0,[+Durative],[+Dynamic]
帮忙,Activity,5,0,[+Durative],[+Dynamic]
帮人圆梦,Activity,1,0,[+Durative],[+Dynamic]
帮谁干活,Activity,1,0,[+Durative],[+Dynamic]
帮她隐瞒,Activity,1,0,[+Durative],[+Dynamic]
帮我们,Activity,1,0,[+Durative],[+Dynamic]
帮用户,Activity,1,0,[+Durative],[+Dynamic]
帮助、指点自己,Activity,1,0,[+Durative],[+Dynamic]
帮助病人走出低谷,Activity,1,0,[+Durative],[+Dynamic]
帮助大家搞清楚事实真相,Activity,1,0,[+Durative],[+Dynamic]
帮助帝国主义者,Activity,1,0,[+Durative],[+Dynamic]
帮助该校开设高度国际化的课程,Activity,1,0,[+Durative],[+Dynamic]
帮助控制政治上的反对分子,Activity,1,0,[+Durative],[+Dynamic]
帮助你们,Activity,1,0,[+Durative],[+Dynamic]
帮助他,Activity,2,0,[+Durative],[+Dynamic]
帮助她,Activity,1,0,[+Durative],[+Dynamic]
帮助文艺工作者认识自己对国家和人民的责任,Activity,1,0,[+Durative],[+Dynamic]
帮助我们,Activity,1,0,[+Durative],[+Dynamic]
帮助我们父子两个,Activity,1,0,[+Durative],[+Dynamic]
帮助兴建,Activity,0,1,[+Durative],[+Dynamic]
帮助一个公社修理农机,Activity,1,0,[+Durative],[+Dynamic]
帮助一个同志改正骄傲自满的毛病,Activity,1,0,[+Durative],[+Dynamic]
帮助一些工厂、机关、学校办好集体食堂,Activity,1,0,[+Durative],[+Dynamic]
帮助以色列对西奈地区发动攻势,Activity,1,0,[+Durative],[+Dynamic]
帮助在台湾中部建筑一座新飞机场,Activity,0,1,[+Durative],[+Dynamic]
帮助这些最反动的、最富有侵略性的帝国主义力量发动战争,Activity,1,0,[+Durative],[+Dynamic]
包饺子,Activity,1,0,[+Durative],[+Dynamic]
包伤口,Activity,0,1,[+Durative],[+Dynamic]
包扎,Activity,1,0,[+Durative],[+Dynamic]
包扎一叠叠的信件,Activity,0,1,[+Durative],[+Dynamic]
保护创新,Activity,1,0,[+Durative],[+Dynamic]
保护他,Activity,1,0,[+Durative],[+Dynamic]
保护他底心爱的东西,Activity,1,0,[+Durative],[+Dynamic]
保护他自己,Activity,1,0,[+Durative],[+Dynamic]
保护她,Activity,1,0,[+Durative],[+Dynamic]
体贴她,State,1,0,[+Durative],[-Dynamic]
保卫地球,Activity,1,0,[+Durative],[+Dynamic]
保卫他们的民族独立和世界和平,Activity,0,1,[+Durative],[+Dynamic]
害怕,State,3,0,[+Durative],[-Dynamic]
害怕皇上动怒,State,0,1,[+Durative],[-Dynamic]
报告,Activity,1,0,[+Durative],[+Dynamic]
报告海湾局势的最新发展,Activity,0,1,[+Durative],[+Dynamic]
报告新闻,Activity,1,0,[+Durative],[+Dynamic]
抱怨,Activity,1,0,[+Durative],[+Dynamic]
抱怨阿巧拿错了衣服,Activity,1,0,[+Durative],[+Dynamic]
抱怨革命对初恋的阉割,Activity,1,0,[+Durative],[+Dynamic]
抱怨经济学家的可怜的预测能力,Activity,1,0,[+Durative],[+Dynamic]
抱怨某事也纹丝不改如同她光滑无皱的脸,Activity,1,0,[+Durative],[+Dynamic]
抱怨她道,Activity,1,0,[+Durative],[+Dynamic]
抱怨我,Activity,1,0,[+Durative],[+Dynamic]
抱怨自己“是孤零零一个人”,Activity,1,0,[+Durative],[+Dynamic]
抱著个盆,Activity,1,0,[+Durative],[+Dynamic]
爆发,Transition,2,0,[-Durative],[+Dynamic]
爆发尖锐的冲突,Transition,1,0,[-Durative],[+Dynamic]
背词,Activity,1,0,[+Durative],[+Dynamic]
背化学元素,Activity,1,0,[+Durative],[+Dynamic]
背批判稿,Activity,1,0,[+Durative],[+Dynamic]
背屈原写的《离骚》中的句子,Activity,1,0,[+Durative],[+Dynamic]
背信,Activity,1,0,[+Durative],[+Dynamic]
被操纵,Activity,0,1,[+Durative],[+Dynamic]
被粉碎,Transition,0,1,[-Durative],[+Dynamic]
被改造成逃亡飞船,Transition,0,1,[+Durative],[+Dynamic]
被监视,Activity,0,1,[+Durative],[+Dynamic]
被建成美国用来试验核弹和其他核武器的永久性试验场,Transition,0,1,[+Durative],[+Dynamic]
被利用,Activity,1,0,[+Durative],[+Dynamic]
被盘问,Activity,1,0,[+Durative],[+Dynamic]
被切断,Transition,1,0,[+Durative],[+Dynamic]
被扫进历史的垃圾堆,Transition,0,1,[+Durative],[+Dynamic]
被释放出来,Transition,0,1,[+Durative],[+Dynamic]
被我丢到身后,Transition,0,1,[+Durative],[+Dynamic]
被吸收到扩大中的工业中去,Transition,0,1,[+Durative],[+Dynamic]
被消耗完,Transition,0,1,[+Durative],[+Dynamic]
被撞倒、被撞晕,Transition,1,0,[-Durative],[+Dynamic]
奔驰,Activity,5,0,[+Durative],[+Dynamic]
